company,website,phone,linkedin_company,industry,employees,city,state,country,address,postal_code,category,rating,reviews,founded_year,source
Artificial Intelligence,,,http://www.linkedin.com/company/ai-gen-ai,information technology & services,34,Sunnyvale,California,United States,,,,,,,apollo
NeenOpal Inc.,http://www.neenopal.com,,http://www.linkedin.com/company/neenopal,management consulting,160,Newark,New Jersey,United States,,,,,,2016,apollo
qBotica,http://www.qbotica.com,,http://www.linkedin.com/company/qbotica,information technology & services,200,Phoenix,Arizona,United States,,,,,,2017,apollo
AI For Enterprise,http://www.aiforleaders.com,,http://www.linkedin.com/company/aiforleaders,online media,430,San Francisco,California,United States,,,,,,,apollo
Rippey AI,http://www.rippey.ai,,http://www.linkedin.com/company/rippey,logistics & supply chain,54,Louisville,Colorado,United States,,,,,,2019,apollo
Impower.ai,http://www.impowerconsulting.ai,,http://www.linkedin.com/company/im-power-ai,information technology & services,60,Columbus,Ohio,United States,,,,,,,apollo
Machine Learning Department at CMU,,,http://www.linkedin.com/school/mldcmu,research,140,Pittsburgh,Pennsylvania,United States,,,,,,1997,apollo
Nintex RPA (formerly Kryon),,,http://www.linkedin.com/company/kryon,information technology & services,40,Bellevue,Washington,United States,,,,,,2008,apollo
United States Artificial Intelligence Institute,http://www.usaii.org,,http://www.linkedin.com/company/usaii,government administration,36,Stamford,Connecticut,United States,,,,,,,apollo
TQA,http://www.tqasolutions.com,,http://www.linkedin.com/company/tquila-automation,information technology & services,200,Austin,Texas,United States,,,,,,2020,apollo
"AI Central | ChatGPT & Generative AI Tutorials, Prompts & Use Cases for Gemini, DeepSeek, Claude",http://www.beehiiv.com,,http://www.linkedin.com/company/chat-gpt-central,information technology & services,190,San Francisco,California,United States,,,,,,2023,apollo
Machine Learning Society,http://www.innovation-labs.co,,http://www.linkedin.com/company/machine-learning-society,information technology & services,43,San Diego,California,United States,,,,,,2016,apollo
AI: Artificial Intelligence,http://www.justai-llc.com,,http://www.linkedin.com/company/ai-chatgpt-prompts,information technology & services,38,Sheridan,Wyoming,United States,,,,,,2019,apollo
GGK Tech,,,http://www.linkedin.com/company/ggk-tech,information technology & services,450,Duluth,Georgia,United States,,,,,,1998,apollo
Hyperscience,http://www.hyperscience.ai,,http://www.linkedin.com/company/hyperscience,information technology & services,230,New York,New York,United States,,,,,,2014,apollo
US Army Artificial Intelligence Integration Center (AI2C),,,http://www.linkedin.com/company/usarmy-ai,military,88,Pittsburgh,Pennsylvania,United States,,,,,,2018,apollo
Synaptic Artificial Intelligence,http://www.synaptic-ai.com,,http://www.linkedin.com/company/synaptic-artificial-intelligence,marketing & advertising,34,Palo Alto,California,United States,,,,,,2020,apollo
Artificial Intelligence Board of America,http://www.artiba.org,,http://www.linkedin.com/company/artiba,education management,27,Austin,Texas,United States,,,,,,,apollo
Machine Learning at Berkeley,,,http://www.linkedin.com/company/machine-learning-at-berkeley,information technology & services,48,Berkeley,California,United States,,,,,,2015,apollo
How Do I Use AI,,,http://www.linkedin.com/company/how-do-i-use-ai,e-learning,28,Mountain View,California,United States,,,,,,,apollo
DataForce,,,http://www.linkedin.com/company/dataforceai,information technology & services,410,New York,New York,United States,,,,,,1992,apollo
Machine Learning,,,http://www.linkedin.com/company/machine-learn,information technology & services,380,San Francisco,California,United States,,,,,,2020,apollo
Trident Consulting,http://www.tridentconsultinginc.com,,http://www.linkedin.com/company/tridentconsulting,information technology & services,190,San Ramon,California,United States,,,,,,2005,apollo
Rezolve AI,http://www.rezolve.ai,,http://www.linkedin.com/company/rezolveai,information technology & services,140,Dublin,California,United States,,,,,,2017,apollo
Motion Automation Intelligence,,,http://www.linkedin.com/company/motionautomationintelligence,machinery,410,Birmingham,Alabama,United States,,,,,,,apollo
IgniteTech,http://www.ignitetech.com,,http://www.linkedin.com/company/ignite-tech,information technology & services,360,Austin,Texas,United States,,,,,,2000,apollo
Grok,,,http://www.linkedin.com/company/grok-ai,information technology & services,250,New Orleans,Louisiana,United States,,,,,,2023,apollo
Artificial Intelligence at UCI,,,http://www.linkedin.com/company/aiatuci,information technology & services,24,Irvine,California,United States,,,,,,2017,apollo
Rare Carat,http://www.rarecarat.com,,http://www.linkedin.com/company/rare-carat,luxury goods & jewelry,170,New York,New York,United States,,,,,,2016,apollo
"Redolent, Inc",http://www.redolentech.com,,http://www.linkedin.com/company/redolent-inc,information technology & services,32,Fremont,California,United States,,,,,,2008,apollo
Diversant LLC,,,http://www.linkedin.com/company/diversant-llc,information technology & services,220,Red Bank,New Jersey,United States,,,,,,1998,apollo
Strategic Systems Inc,http://www.strategicsystems.io,,http://www.linkedin.com/company/strategic-systems-inc-,information technology & services,410,Dublin,Ohio,United States,,,,,,2004,apollo
The Hive,,,http://www.linkedin.com/company/the-hive-llc,venture capital & private equity,55,Los Altos,California,United States,,,,,,2012,apollo
Engati,http://www.engati.ai,,http://www.linkedin.com/company/engati,information technology & services,110,Wilmington,Delaware,United States,,,,,,2021,apollo
BCG GAMMA,,,http://www.linkedin.com/company/bcg-gamma,management consulting,140,Boston,Massachusetts,United States,,,,,,2015,apollo
AIFI - Artificial Intelligence Finance Institute,http://www.aifinanceinstitute.com,,http://www.linkedin.com/company/artificial-intelligence-finance-institute-aifi,e-learning,15,New York,New York,United States,,,,,,2018,apollo
COSO IT - A Big Data & AI Company,http://www.cosoit.com,,http://www.linkedin.com/company/cosoit,information technology & services,140,Gaithersburg,Maryland,United States,,,,,,2022,apollo
"Zillion Technologies, Inc.",http://www.zilliontechnologies.com,,http://www.linkedin.com/company/zillion-technologies,information technology & services,390,Ashburn,Virginia,United States,,,,,,2002,apollo
"Austin Artificial Intelligence, Inc.",http://www.austinai.io,,http://www.linkedin.com/company/austin-artificial-intelligence-inc,information technology & services,21,Bee Cave,Texas,United States,,,,,,2020,apollo
AI For Business,,,http://www.linkedin.com/company/aiforbusiness-official,online media,110,San Francisco,California,United States,,,,,,,apollo
TRACTIAN,,,http://www.linkedin.com/company/get-tractian,information technology & services,290,Atlanta,Georgia,United States,,,,,,2019,apollo
CognoticAI LLC.,,,http://www.linkedin.com/company/cognoticai-llc,information technology & services,15,New York,New York,United States,,,,,,2018,apollo
Intellectt Inc,http://www.intellectt.com,,http://www.linkedin.com/company/intellecttinc,information technology & services,460,Woodbridge Township,New Jersey,United States,,,,,,2018,apollo
Towards Data Science,http://www.towardsdatascience.com,,http://www.linkedin.com/company/towards-data-science,online media,330,San Francisco,California,United States,,,,,,2016,apollo
Applicantz,http://www.applicantz.com,,http://www.linkedin.com/company/applicantz-com,information technology & services,350,Houston,Texas,United States,,,,,,2001,apollo
Cylance Inc.,,,http://www.linkedin.com/company/cylanceinc,computer & network security,110,Eden Prairie,Minnesota,United States,,,,,,2012,apollo
JRD Systems,http://www.jrdsi.com,,http://www.linkedin.com/company/jrd-systems,information technology & services,250,Clinton Township,Michigan,United States,,,,,,1997,apollo
Women In Data™️,http://www.womenindata.org,,http://www.linkedin.com/company/women-in-data,nonprofit organization management,93,Sacramento,California,United States,,,,,,2016,apollo
BlackStone eIT,http://www.blackstoneeit.com,,http://www.linkedin.com/company/blackstoneeit,information technology & services,270,Seattle,Washington,United States,,,,,,2014,apollo
Futran Solutions,http://www.futransolutions.com,,http://www.linkedin.com/company/futransolutionsinc,information technology & services,300,Edison,New Jersey,United States,,,,,,2010,apollo
PriceSenz,http://www.pricesenz.com,,http://www.linkedin.com/company/pricesenz,information technology & services,56,Dallas,Texas,United States,,,,,,2015,apollo
Epirus,http://www.epirusinc.com,,http://www.linkedin.com/company/epirus,defense & space,240,Torrance,California,United States,,,,,,2018,apollo
Keasis,http://www.keasis.com,,http://www.linkedin.com/company/keasis,information technology & services,57,Jersey City,New Jersey,United States,,,,,,2021,apollo
Fast Company,http://www.fastcompany.com,,http://www.linkedin.com/company/fast-company,online media,170,New York,New York,United States,,,,,,1995,apollo
Workday Contract Management,,,http://www.linkedin.com/company/workday-contract-management,information technology & services,65,San Francisco,California,United States,,,,,,2016,apollo
Ampstek,http://www.ampstek.com,,http://www.linkedin.com/company/ampstek,information technology & services,300,Princeton,New Jersey,United States,,,,,,2014,apollo
Lotus Interworks,http://www.lotusinterworks.com,,http://www.linkedin.com/company/lotus-interworks,information technology & services,310,Los Angeles,California,United States,,,,,,1999,apollo
OpenCV,http://www.opencv.org,,http://www.linkedin.com/company/opencv,nonprofit organization management,53,Palo Alto,California,United States,,,,,,2000,apollo
"ExcelGens, Inc.",http://www.excelgens.com,,http://www.linkedin.com/company/excelgens-inc,information technology & services,240,Denville,New Jersey,United States,,,,,,2011,apollo
MindStream - Artificial Intelligence for Everyone,http://www.mindstream.ai,,http://www.linkedin.com/company/mindstream-consulting,information technology & services,14,San Jose,California,United States,,,,,,2010,apollo
Brim Labs,http://www.brimlabs.ai,,http://www.linkedin.com/company/brim-labs,information technology & services,27,,,United States,,,,,,2020,apollo
Bik.ai,http://www.bik.ai,,http://www.linkedin.com/company/bikglobal,information technology & services,350,Palo Alto,California,United States,,,,,,2022,apollo
Biohub,http://www.biohub.org,,http://www.linkedin.com/company/cz-biohub,research,300,Redwood City,California,United States,,,,,,2016,apollo
xAI,,,http://www.linkedin.com/company/xai-updates,information technology & services,280,New Orleans,Louisiana,United States,,,,,,,apollo
Ai4 - Artificial Intelligence Conferences,http://www.ai4.io,,http://www.linkedin.com/company/ai4,events services,27,New York,New York,United States,,,,,,2018,apollo
Computerworld,http://www.computerworld.com,,http://www.linkedin.com/company/computerworld,information technology & services,150,New York,New York,United States,,,,,,1967,apollo
Rapid Innovation,http://www.rapidinnovation.io,,http://www.linkedin.com/company/rapid-innovation,information technology & services,200,Spokane,Washington,United States,,,,,,2019,apollo
Droisys,http://www.droisys.com,,http://www.linkedin.com/company/droisys,information technology & services,450,Fremont,California,United States,,,,,,2003,apollo
Udacity,http://www.udacity.com,,http://www.linkedin.com/school/udacity,e-learning,430,Mountain View,California,United States,,,,,,2011,apollo
TA Digital,,,http://www.linkedin.com/company/ta-digital-inc,information technology & services,270,Newark,California,United States,,,,,,2000,apollo
ZineOne,,,http://www.linkedin.com/company/zineone,information technology & services,21,San Jose,California,United States,,,,,,2014,apollo
Immunai,http://www.immunai.com,,http://www.linkedin.com/company/immunai,research,180,New York,New York,United States,,,,,,2019,apollo
The Annet Group,http://www.annet.com,,http://www.linkedin.com/company/annet-technologies,information technology & services,480,Dallas,Texas,United States,,,,,,1998,apollo
Enquero,http://www.enquero.com,,http://www.linkedin.com/company/enquero,information technology & services,350,Milpitas,California,United States,,,,,,2014,apollo
VISCR AI,http://www.viscr.ai,,http://www.linkedin.com/company/viscrai,computer & network security,15,Washington,District of Columbia,United States,,,,,,2023,apollo
SHEIN Technology LLC,,,http://www.linkedin.com/company/shein-technology,apparel & fashion,160,Los Angeles,California,United States,,,,,,,apollo
Onward Robotics,http://www.onwardrobotics.com,,http://www.linkedin.com/company/onward-robotics,logistics & supply chain,140,Pittsburgh,Pennsylvania,United States,,,,,,2012,apollo
Databricks Mosaic Research,,,http://www.linkedin.com/company/mosaicresearch,information technology & services,51,San Francisco,California,United States,,,,,,2021,apollo
VentureBeat,http://www.venturebeat.com,,http://www.linkedin.com/company/venturebeat,information technology & services,330,San Francisco,California,United States,,,,,,2006,apollo
Atyeti Inc,http://www.atyeti.com,,http://www.linkedin.com/company/atyeti-inc,information technology & services,450,Princeton,New Jersey,United States,,,,,,2008,apollo
LENS Corporation,http://www.lenscorp.ai,,http://www.linkedin.com/company/lens-corporation,research,59,Lansing,Michigan,United States,,,,,,2016,apollo
Cheddar,http://www.cheddar.com,,http://www.linkedin.com/company/cheddar-inc-,media production,95,New York,New York,United States,,,,,,2016,apollo
Hyland RPA | Intelligent Automation,,,http://www.linkedin.com/company/anothermonday,information technology & services,16,Westlake,Ohio,United States,,,,,,2005,apollo
Charter Global,http://www.charterglobal.com,,http://www.linkedin.com/company/charterglobalcg,information technology & services,390,Atlanta,Georgia,United States,,,,,,1994,apollo
WonderBotz,http://www.wonderbotz.com,,http://www.linkedin.com/company/wonderbotz,information technology & services,330,Princeton,New Jersey,United States,,,,,,2017,apollo
Artificial Intelligence,,,http://www.linkedin.com/company/self-employed-ai,information technology & services,98,Colorado Springs,Colorado,United States,,,,,,2017,apollo
Wunderman Thompson Data,,,http://www.linkedin.com/company/wunderman-thompson-data,marketing & advertising,59,New York,New York,United States,,,,,,1997,apollo
MIT Jameel Clinic,http://jclinic.mit.edu,,http://www.linkedin.com/company/aihealthmit,higher education,25,Cambridge,Massachusetts,United States,,,,,,2018,apollo
"MapR Technologies, acquired by Hewlett Packard Enterprise company in 2019",,,http://www.linkedin.com/company/mapr-technologies,information technology & services,96,Houston,Texas,United States,,,,,,2009,apollo
Data Science Central,http://www.datasciencecentral.com,,http://www.linkedin.com/company/data-science-central,publishing,440,Issaquah,Washington,United States,,,,,,2012,apollo
"Agile Resources, Inc.",http://www.gotoagile.com,,http://www.linkedin.com/company/agile-resources-inc-,staffing & recruiting,56,Alpharetta,Georgia,United States,,,,,,2003,apollo
Avistos,http://www.avistos.com,,http://www.linkedin.com/company/avistos,information technology & services,230,Princeton,New Jersey,United States,,,,,,2015,apollo
MicroStrategy (now Strategy),,,http://www.linkedin.com/company/microstrategy,information technology & services,110,Tysons Corner,Virginia,United States,,,,,,1998,apollo
Krista,http://www.krista.ai,,http://www.linkedin.com/company/krista-ai,information technology & services,150,Dallas,Texas,United States,,,,,,2020,apollo
USD Artificial Intelligence (ᗩ𝕀) Research,http://www.ai-research-lab.org,,http://www.linkedin.com/company/kc-ai,research,14,Vermillion,South Dakota,United States,,,,,,2015,apollo
Staffigo,http://www.staffigo.com,,http://www.linkedin.com/company/staffigo,information technology & services,140,Woodridge,Illinois,United States,,,,,,,apollo
Telescope,http://www.trytelescope.io,,http://www.linkedin.com/company/trytelescope,information technology & services,13,San Francisco,California,United States,,,,,,2021,apollo
HiredScore,http://www.hiredscore.com,,http://www.linkedin.com/company/hiredscore,information technology & services,46,New York,New York,United States,,,,,,2013,apollo
Serokell,https://serokell.io/,+372 699 1531,,,,Tallinn,,EE,"Pille tn 7/5-13, 10138 Tallinn, Estonia",10138,Software company,5,10,,google_maps
Logic20/20 Consulting,http://www.logic2020.com/,(206) 576-0400,,,,Seattle,Washington,US,"1501 1st Ave S #310, Seattle, WA 98134",98134,Business management consultant,4,8,,google_maps
IMS Health Sweden AB,https://www.iqvia.com/locations/nordics,+46 8 508 842 00,,,,Stockholm,,SE,"Hagaesplanaden 4, 113 68 Stockholm, Sweden",113 68,Consultant,5,1,,google_maps
Buzzcloud AB,http://www.buzzcloud.se/,+46 8 23 45 00,,,,Stockholm,,SE,"Malmskillnadsgatan 44a, 111 57 Stockholm, Sweden",111 57,Computer consultant,5,8,,google_maps
AI Utbildningscentrum (AIUC),https://www.aiuc.se/,+46 8 645 84 00,,,,Stockholm,,SE,"Warfvinges väg 31, 112 51 Stockholm, Sweden",112 51,Educational consultant,,,,google_maps
Ampliro,https://www.ampliro.com/,+46 8 555 162 00,,,,Stockholm,,SE,"Warfvinges väg 31, 112 51 Stockholm, Sweden",112 51,Business management consultant,,,,google_maps
Knowit,https://www.knowit.eu/,+46 8 700 66 00,,,,Östersund,,SE,"Rådhusgatan 56, 831 34 Östersund, Sweden",831 34,Consultant,4.9,16,,google_maps
Hyperight AB,http://www.hyperight.com/,,,,,Stockholm,,SE,"Regeringsgatan 70A, 111 39 Stockholm, Sweden",111 39,Event management company,5,1,,google_maps
AFRY Experience Studios,https://afry.com/en/area/afry-experience-studios,+46 76 136 37 54,,,,Stockholm,,SE,"Döbelnsgatan 54, 113 52 Stockholm, Sweden",113 52,Consultant,5,3,,google_maps
Infotiv,http://www.infotiv.se/,+46 31 339 39 00,,,,Gothenburg,,SE,"Västra Hamngatan 8, 411 17 Göteborg, Sweden",411 17,Engineering consultant,4.4,23,,google_maps
Nordigate,https://nordigate.com/,+46 70 754 42 82,,,,Linköping,,SE,"Sankt Larsgatan 21, 582 24 Linköping, Sweden",582 24,Software company,5,7,,google_maps
Rital AI,https://rital.ai/,,,,,Stockholm,,SE,"Tulegatan 22, 113 53 Stockholm, Sweden",113 53,Consultant,,,,google_maps
Digisource Consulting Ab,http://www.digisourceconsulting.com/,+46 8 420 026 27,,,,Stockholm,,SE,"Regeringsgatan 29, WeWork, 111 53 Stockholm, Sweden",111 53,Computer support and services,5,1,,google_maps
Echo State AB,https://echostate.se/,+46 8 520 275 27,,,,Stockholm,,SE,"Engelbrektsgatan 14, 114 32 Stockholm, Sweden",114 32,Consultant,4.3,4,,google_maps
Codon Consulting,http://www.codon.se/,+46 70 939 56 52,,,,Stockholm,,SE,"Skolgränd 2, 118 24 Stockholm, Sweden",118 24,Computer consultant,,,,google_maps
AI experts,https://aiexperts.no/,+47 95 24 86 79,,,,Arendal,,NO,"Torvet 10, 4836 Arendal, Norway",4836,Software company,,,,google_maps
Modulai AB - The Machine Learning Agency,http://www.modulai.io/,+46 8 414 002 97,,,,Stockholm,,SE,"Långholmsgatan 27, 117 33 Stockholm, Sweden",117 33,Software company,4.4,7,,google_maps
Cartina AB,http://www.cartina.se/,,,,,Stockholm,,SE,"Epicenter, c/o Cartina, Malmskillnadsgatan 44A, 111 57 Stockholm, Sweden",111 57,Consultant,4.9,10,,google_maps
